main_address,rental_type
783 SILVER LAKE AV,Owner Fee Exempt
791 SILVER LAKE AV,Owner Fee Exempt
4510 7TH ST,Owner Fee Exempt
4512 7TH ST,Owner Fee Exempt
4522 7TH ST,Owner Fee Exempt
4530 7TH ST,Owner Fee Exempt
4582 7TH ST,Owner Fee Exempt
4590 7TH ST,Owner Fee Exempt
4516 7TH ST,Owner Fee Exempt
4570 7TH ST,Owner Fee Exempt
4562 7TH ST,Owner Fee Exempt
4558 7TH ST,Owner Fee Exempt
4550 7TH ST,Owner Fee Exempt
4546 7TH ST,Owner Fee Exempt
4542 7TH ST,Owner Fee Exempt
4538 7TH ST,Owner Fee Exempt
4536 7TH ST,Owner Fee Exempt
4534 7TH ST,Owner Fee Exempt
4528 7TH ST,Owner Fee Exempt
4598 7TH ST,Owner Fee Exempt
4586 7TH ST,Owner Fee Exempt
4566 7TH ST,Owner Fee Exempt
4501 8TH ST,Owner Fee Exempt
4507 8TH ST,Owner Fee Exempt
4521 8TH ST,Owner Fee Exempt
4529 8TH ST,Owner Fee Exempt
4541 8TH ST,Owner Fee Exempt
4545 8TH ST,Owner Fee Exempt
4597 8TH ST,Owner Fee Exempt
4519 8TH ST,Owner Fee Exempt
4527 8TH ST,Owner Fee Exempt
4565 8TH ST,Owner Fee Exempt
4547 8TH ST,Owner Fee Exempt
665 POPLAR AVE,Standard Rental
4539 8TH ST,Owner Fee Exempt
4535 8TH ST,Owner Fee Exempt
4533 8TH ST,Owner Fee Exempt
4511 8TH ST,Owner Fee Exempt
792 UNION AVE,Standard Rental
424 UTICA AVE,Attached Accessory Dwelling Unit
3810 NEWPORT LN,Standard Rental
3926 PROMONTORY CT,Standard Rental
3905 PROMONTORY CT,Standard Rental
3917 PROMONTORY CT,Standard Rental
3993 PROMONTORY CT,Standard Rental
355 POPLAR AV,Standard Rental
930 QUINCE AV,Standard Rental
625 NORTHSTAR CT,Standard Rental
3842 WONDERLAND HILL AV,Standard Rental
3847 ORION CT,Standard Rental
3922 ORCHARD CT,Standard Rental
3910 ORCHARD CT,Standard Rental
3935 ORCHARD CT,Short Term Rental
670 POPLAR AV,Standard Rental
666 POPLAR AV,Short Term Rental
622 QUINCE CR,Standard Rental
640 QUINCE CR,Standard Rental
655 POPLAR AV,Standard Rental
675 POPLAR AV,Standard Rental
660 QUINCE CIR,Standard Rental
680 QUINCE CIR,Standard Rental
770 QUINCE CIR,Standard Rental
4003 WONDERLAND HILL AV,Standard Rental
4005 WONDERLAND HILL AV,Standard Rental
