main_address,rental_type
4585 13TH ST B,Standard Rental
4585 13TH ST D,Standard Rental
4585 13TH ST E,Standard Rental
4585 13TH ST F,Standard Rental
1380 ROSEWOOD AVE 9B,Standard Rental
1380 ROSEWOOD AV 9C,Standard Rental
1380 ROSEWOOD AVE 9D,Standard Rental
1380 ROSEWOOD AV 9E,Standard Rental
1380 ROSEWOOD AVE 9F,Standard Rental
1350 ROSEWOOD AV,Standard Rental
4456 BROADWAY,Standard Rental
1270 TAMARACK AVE,Standard Rental
1595 SUMAC AV,Standard Rental
1590 TAMARACK AV,Standard Rental
1320 UPLAND AVE,Standard Rental
1441 QUINCE AVE,Accessory Dwelling Unit
1360 SUMAC AV,Accessory Dwelling Unit
1307 RIVERSIDE AV,Standard Rental
1301 RIVERSIDE AVE,Short Term Rental
1286 SUMAC AV,Standard Rental
1300 SUMAC AV,Owner Occupied Dwelling Unit & Short Term ADU
4140 17TH ST,Standard Rental
4095 19TH ST,Accessory Dwelling Unit
1695 REDWOOD AVE,Standard Rental
1705 QUINCE AVE,Short Term Rental
1840 REDWOOD AV,Standard Rental
1880 REDWOOD AV,Owner Accessory Unit
1885 QUINCE AVE,Owner Occupied Dwelling Unit & Short Term ADU
1525 QUINCE AV,Standard Rental
1630 REDWOOD AV,Short Term Rental
1501 ORCHARD AV,Standard Rental
1560 QUINCE AVE,Short Term Rental
1606 POPLAR AV,Standard Rental
1505 POPLAR AVE,Short Term Rental
1603 ORCHARD AV,Owner Fee Exempt
3949 19TH ST,Accessory Dwelling Unit
1800 ORCHARD AV,Accessory Dwelling Unit
1892 ORCHARD AV,Standard Rental
1750 ORCHARD AV,Accessory Dwelling Unit
1550 ORCHARD AV,Standard Rental
1675 OAK AV,Standard Rental
3850 BROADWAY  22,Standard Rental
1500 ORCHARD AV,Accessory Dwelling Unit
1585 OAK AV,Owner Accessory Unit
1865 NORWOOD AV,Short Term Rental
1629 NORWOOD AV,Standard Rental
1521 NORWOOD AV,Owner Occupied (1 Unit)
3856 14TH ST,Standard Rental
1316 NORTHRIDGE CT,Standard Rental
1363 NORTHRIDGE CT,Short Term Rental
1330 OAK CT,Standard Rental
1360 OAK CT,Short Term Rental
3878 BROADWAY 2,Standard Rental
3878 BROADWAY   5,Standard Rental
3878 BROADWAY  6,Standard Rental
3874 BROADWAY  7,Standard Rental
3874 BROADWAY  8,Standard Rental
3874 BROADWAY   9,Standard Rental
3870 BROADWAY   12,Standard Rental
3870 BROADWAY   13,Standard Rental
3870 BROADWAY   14,Standard Rental
3870 BROADWAY 15,Standard Rental
3870 BROADWAY 16,Standard Rental
3870 BROADWAY   17,Standard Rental
3870 BROADWAY   18,Standard Rental
3850 BROADWAY 21,Standard Rental
3850 BROADWAY   23,Standard Rental
3840 BROADWAY  26,Standard Rental
3840 BROADWAY 27,Standard Rental
3840 BROADWAY 28,Standard Rental
3840 N BROADWAY  29,Standard Rental
3830 BROADWAY  32,Standard Rental
3830 BROADWAY 33,Standard Rental
3830 BROADWAY   34,Standard Rental
1245 NORWOOD AV 37,Standard Rental
1245 NORWOOD AV 38,Standard Rental
1245 NORWOOD AV 39,Standard Rental
1245 NORWOOD AV 43,Standard Rental
1695 NORWOOD AVE,Standard Rental
1510 SUMAC AVE,Standard Rental
1820 SUMAC AVE,Short Term Rental
1800 SUMAC AVE,Short Term Rental
1490 RIVERSIDE AV,Short Term Rental
1470 RIVERSIDE AV,Standard Rental
1420 RIVERSIDE AV,Standard Rental
1380 RIVERSIDE AV,Standard Rental
4170 RIVERSIDE DR,Standard Rental
4160 RIVERSIDE DR,Short Term Rental
4150 RIVERSIDE DR,Standard Rental
1405 NORWOOD AV,Standard Rental
1360 RIVERSIDE AV,Short Term Rental
1350 RIVERSIDE AV,Standard Rental
1475 OAK PL,Standard Rental
1532 OAK AVE,Standard Rental
1528 OAK AV,Standard Rental
1490 REDWOOD AV,Standard Rental
4155 RIVERSIDE AVE,Short Term Rental
4125 RIVERSIDE AVE,Short Term Rental
4106 RIVERSIDE DR,Standard Rental
1325 REDWOOD AV,Standard Rental
1335 REDWOOD AVE,Short Term Rental
1535 NORWOOD AV,Accessory Dwelling Unit
1271 QUINCE AV,Standard Rental
1293 QUINCE AV,Short Term Rental
3885 17TH ST,Standard Rental
1212 REDWOOD AV,Standard Rental
1502 SUMAC AVE,Standard Rental
1258 OAKLEAF CIR,Standard Rental
1559 ORCHARD AV,Standard Rental
1855 REDWOOD AV,Standard Rental
1555 NORWOOD AV,Owner Occupied Dwelling Unit & Short Term ADU
1835 REDWOOD AV,Standard Rental
1641 REDWOOD AV,Standard Rental
1552 OAK AV,Standard Rental
1540 OAK AV,Standard Rental
2446 SUMAC AV,Standard Rental
4415 GARNET LN,Short Term Rental
1990 POPLAR AVE,Standard Rental
2000 POPLAR AVE,Detached Accessory Dwelling Unit
3880 19TH ST,Standard Rental
2080 ORCHARD AV,Standard Rental
1929 OAK AV,Owner Occupied Dwelling Unit & Short Term OAU
1947 OAK AVE,Standard Rental
1930 ORCHARD AV,Standard Rental
1975 NORWOOD AV,Standard Rental
3827 N 26TH ST,Standard Rental
2010 OAK AV,Standard Rental
2471 NORWOOD AVE,Standard Rental
2115 MEADOW AV,Owner Accessory Unit
2160 MEADOW AV,Short Term Rental
3640 19TH ST,Standard Rental
3518 KIRKWOOD PL,Standard Rental
3526 KIRKWOOD PL,Standard Rental
2589 KALMIA AV,Standard Rental
2310 JUNIPER AV,Standard Rental
2460 JUNIPER AV,Standard Rental
2500 JUNIPER AVE,Standard Rental
2510 JUNIPER AV,Standard Rental
2590 JUNIPER AV,Standard Rental
2580 JUNIPER AV,Standard Rental
2595 JUNIPER AV,Standard Rental
2545 JUNIPER AV,Standard Rental
2335 JUNIPER AV,Standard Rental
2355 JASPER CT,Short Term Rental
2336 KEYSTONE CT,Standard Rental
2396 KEYSTONE CT,Standard Rental
2363 KEYSTONE CT,Short Term Rental
2187 JORDAN PL,Standard Rental
2171 JONATHAN PL,Standard Rental
2160 JONATHAN PL,Standard Rental
3405 22ND ST 34,Standard Rental
3415 22ND ST,Standard Rental
3425 22ND ST 36,Standard Rental
3435 22ND ST,Standard Rental
3430 22ND ST 4,Standard Rental
2096 JOSLYN PL,Standard Rental
2022 JOSLYN PL,Short Term Rental
1960 JOSLYN PL,Standard Rental
2000 JOSLYN PL,Standard Rental
3580 19TH ST,Standard Rental
2580 KELLER FARM DR,Standard Rental
2118 KALMIA CR,Standard Rental
2255 KINCAID PL,Standard Rental
3440 23RD ST,Standard Rental
3485 23RD ST,Short Term Rental
1380 MEADOW AV,Standard Rental
1235 LINDEN DR,Standard Rental
1225 LINDEN AV,Standard Rental
1215 LINDEN AV,Standard Rental
1210 LINDEN AV,Standard Rental
3690 BROADWAY,Standard Rental
1220 LINDEN AV,Standard Rental
1260 LINDEN AV,Standard Rental
1240 LINDEN  AVE,Standard Rental
3640 BROADWAY,Owner Fee Exempt
1245 KALMIA AVE,Standard Rental and Short Term Rental
1515 KALMIA AV,Standard Rental
1410 KALMIA AVE,Standard Rental
1260 KALMIA AV,Standard Rental
3540 BROADWAY,Standard Rental
3550 BROADWAY,Standard Rental
1847 IRIS AV,Standard Rental
1849 IRIS AV,Accessory Dwelling Unit
1840 DEL ROSA CT,Standard Rental
3860 CLOVERLEAF DR,Standard Rental
3865 CLOVERLEAF DR,Accessory Dwelling Unit
3806 CLOVERLEAF DR,Standard Rental
1580 MOSS ROCK PL,Standard Rental
1345 LINDEN AV,Short Term Rental
1385 LINDEN AVE,Standard Rental
1395 LINDEN AVE,Standard Rental
1485 LINDEN AV,Standard Rental
1505 LINDEN AV,Standard Rental
1565 LINDEN AV,Standard Rental
1595 LINDEN AV,Standard Rental
1290 LINDEN AV,Standard Rental
1280 LINDEN AV,Standard Rental
3655 ASPEN CT,Standard Rental
3635 ASPEN CT,Standard Rental
3690 ASPEN CT,Standard Rental
3620 ASPEN CT,Standard Rental
3625 BUCKEYE CT,Standard Rental
3675 BUCKEYE CT,Standard Rental
3680 BUCKEYE CT,Standard Rental
3640 BUCKEYE CT,Standard Rental
3655 CONIFER CT,Short Term Rental
3660 CONIFER CT,Standard Rental
3640 CONIFER CT,Standard Rental
3600 CONIFER CT,Standard Rental
1600 LINDEN AV,Standard Rental
1630 LINDEN AV,Standard Rental
1650 LINDEN AV,Standard Rental
3635 CLOVERLEAF DR,Short Term Rental
3640 16TH ST,Standard Rental
1690 LOMBARDY DR,Standard Rental
1750 LOMBARDY DR,Standard Rental
1780 LOMBARDY DR,Standard Rental
3715 CLOVERLEAF DR,Standard Rental
1785 LINDEN AVE,Short Term Rental
1775 LINDEN AV,Standard Rental
1755 LINDEN AV,Short Term Rental
1735 LINDEN AV,Standard Rental
3640 CLOVERLEAF DR,Standard Rental
3585 19TH ST,Accessory Dwelling Unit
3575 19TH ST,Standard Rental
3545 19TH ST,Standard Rental
3535 19TH ST,Standard Rental
3505 19TH ST,Standard Rental
3500 CATALPA WY,Standard Rental
3510 CATALPA WY,Standard Rental
3550 CATALPA WY,Owner Occupied Dwelling Unit & Short Term ADU
3560 CATALPA WAY,Standard Rental
3595 CATALPA WY,Standard Rental
3565 CATALPA WAY,Short Term Rental
3530 CLOVERLEAF DR,Short Term Rental
1675 NUGGET CT,Standard Rental
1665 NUGGET CT,Standard Rental
3560 16TH ST,Standard Rental
3445 17TH ST,Standard Rental
3455 17TH ST,Short Term Rental
3480 17TH ST,Standard Rental
3440 17TH ST,Standard Rental
3440 17TH ST,Standard Rental
3440 17TH ST,Standard Rental
3440 17TH ST,Standard Rental
3420 17TH ST,Short Term Rental
1804 DEL ROSA CT,Standard Rental
1815 DEL ROSA CT,Standard Rental
1890 DEL ROSA CT,Standard Rental
3582 BROADWAY,Standard Rental
3580 BROADWAY 3,Standard Rental
3576 BROADWAY  5,Standard Rental
3574 BROADWAY,Standard Rental
3572 BROADWAY,Standard Rental
1717 IRIS AV,Short Term Rental
3407 IRIS CT,Standard Rental
3488 IRIS CT,Standard Rental
3466 IRIS CT,Attached Accessory Dwelling Unit
1350 MEADOW AV,Accessory Dwelling Unit
1360 MEADOW AV,Accessory Dwelling Unit
1225 KALMIA AVE,Short Term Rental
1237 KALMIA AV,Standard Rental
1394 KALMIA AVE,Owner Occupied Dwelling Unit & Short Term ADU
3555 16TH ST,Accessory Dwelling Unit
1607 JIMSON CT,Standard Rental
3490 CATALPA WAY,Standard Rental
3501 19TH ST,Standard Rental
1221 LINDEN AVE,Standard Rental
3626 BROADWAY 1,Standard Rental
3626 BROADWAY 2,Standard Rental
3626 BROADWAY 3,Standard Rental
3626 BROADWAY 4,Standard Rental
3626 BROADWAY 5,Standard Rental
3626 BROADWAY 6,Standard Rental
3626 BROADWAY 7,Standard Rental
3626 BROADWAY 8,Standard Rental
3626 BROADWAY 9,Standard Rental
3626 BROADWAY 10,Standard Rental
3626 BROADWAY 11,Standard Rental
3626 BROADWAY 12,Standard Rental
1800 IRIS AV,Standard Rental
3340 BROADWAY,Standard Rental
1290 ELDER AV,Standard Rental
2965 13TH ST,Standard Rental
2945 19TH ST,Standard Rental
3315 13TH ST,Short Term Rental
3335 13TH ST,Standard Rental
3345 13TH ST,Short Term Rental
3345 15TH ST,Short Term Rental
3312 16TH ST,Standard Rental
1620 HAWTHORN AV,Owner Fee Exempt
1635 HAWTHORN AV,Owner Fee Exempt
1645 HAWTHORN AV,Owner Fee Exempt
1650 HAWTHORN AV,Owner Fee Exempt
1655 HAWTHORN AV,Owner Fee Exempt
1665 HAWTHORN AV,Owner Fee Exempt
1675 HAWTHORN AV,Owner Fee Exempt
1685 HAWTHORN AV,Owner Fee Exempt
1695 HAWTHORN AV,Owner Fee Exempt
1650 IRIS AV,Owner Fee Exempt
1660 IRIS AV,Owner Fee Exempt
1670 IRIS AV,Owner Fee Exempt
1680 IRIS AV,Owner Fee Exempt
1690 IRIS AV,Owner Fee Exempt
1576 HAWTHORN AVE,Standard Rental
3020 13TH ST,Standard Rental
3010 13TH ST,Standard Rental
3005 JEFFERSON ST,Standard Rental
3033 JEFFERSON ST,Standard Rental
3014 JEFFERSON ST,Standard Rental
3120 JEFFERSON ST,Standard Rental
3130 JEFFERSON ST,Standard Rental
3140 JEFFERSON ST,Standard Rental
3121 WASHINGTON ST,Standard Rental
3014 WASHINGTON ST,Standard Rental
3020 WASHINGTON ST,Standard Rental
3023 14TH ST,Standard Rental
3018 14TH ST,Standard Rental
3020 14TH ST,Standard Rental
3081 15TH ST,Accessory Dwelling Unit
3045 15TH ST,Short Term Rental
3025 15TH ST,Attached Accessory Dwelling Unit
3015 15TH ST,Standard Rental
3005 15TH ST,Short Term Rental
3060 15TH ST,Standard Rental
1722 GARLAND LN,Accessory Dwelling Unit
3255 19TH ST,Accessory Dwelling Unit
3225 19TH ST,Standard Rental
1775 FOREST AV,Standard Rental
1805 FOREST AV,Standard Rental
3143 FERN PL,Standard Rental
3133 FERN PL,Standard Rental
3105 19TH ST,Short Term Rental
1840 FOREST AVE,Standard Rental
1820 FOREST AV,Standard Rental
3180 18TH ST,Standard Rental
3170 18TH ST,Standard Rental
3040 18TH ST,Standard Rental
3155 18TH ST,Standard Rental
3190 17TH ST,Standard Rental
3160 17TH ST,Standard Rental
3030 17TH ST,Standard Rental
3015 17TH ST,Standard Rental
3085 17TH ST,Standard Rental
3165 17TH ST,Standard Rental
3195 17TH ST,Standard Rental
2990 18TH ST,Short Term Rental
2970 18TH ST,Standard Rental
2960 18TH ST,Standard Rental
2995 17TH ST,Standard Rental
1430 ELDER AV,Owner Occupied (1 Unit)
1480 ELDER AV,Standard Rental
1500 ELDER AVE,Standard Rental
1545 DELLWOOD AV,Standard Rental
1601 DELLWOOD AV,Standard Rental
2980 WASHINGTON ST,Short Term Rental
2995 JEFFERSON ST,Short Term Rental
3004 BROADWAY,Standard Rental
3090 BROADWAY,Standard Rental
3086 BROADWAY,Standard Rental
1750 HAWTHORN PL,Standard Rental
1735 HAWTHORN PL,Standard Rental
3345 14TH ST,Standard Rental
3335 14TH ST,Accessory Dwelling Unit
1412 ELDER AV,Standard Rental
1237 ELDER AVE 1,Standard Rental
1237 ELDER AV 3,Standard Rental
1237 ELDER AV 6,Standard Rental
1235 ELDER AV 8,Standard Rental
1237 ELDER AV 10,Standard Rental
1245 ELDER AV,Standard Rental
1253 ELDER AVE,Standard Rental
1265 ELDER AV,Standard Rental
1404 HAWTHORN AV,Standard Rental
3260 15TH ST,Standard Rental
1500 HAWTHORN AV,Standard Rental
1740 GRAPE AV,Standard Rental
1755 HAWTHORNE PL,Standard Rental
1777 GRAPE AV,Standard Rental
1345 ELDER AVE,Standard Rental
1339 ELDER AVE,Owner Fee Exempt
3000 BROADWAY  1,Standard Rental
3000 BROADWAY  3,Standard Rental
3000 BROADWAY  6,Standard Rental
3000 BROADWAY  7,Standard Rental
3000 BROADWAY  8,Standard Rental
3000 BROADWAY  10,Standard Rental
3000 BROADWAY 11,Standard Rental
3000 BROADWAY  12,Standard Rental
3000 BROADWAY  12,Standard Rental
3000 BROADWAY 13,Standard Rental
3000 BROADWAY 14,Standard Rental
3000 BROADWAY 16,Standard Rental
1720 HAWTHORN AV,Standard Rental
1282 ELDER AV,Standard Rental
1250 ELDER AV,Standard Rental
3120 BROADWAY,Owner Fee Exempt
3110 BROADWAY,Owner Fee Exempt
3114 BROADWAY,Owner Fee Exempt
3130 BROADWAY,Owner Fee Exempt
3140 BROADWAY,Owner Fee Exempt
3150 BROADWAY,Owner Fee Exempt
3160 BROADWAY,Owner Fee Exempt
2200 IRIS AVE,Short Term Rental
1961 EVERGREEN AVE,Short Term Rental
1971 EVERGREEN AV,Standard Rental
2540 IRIS AV,Standard Rental
3340 25TH ST,Accessory Dwelling Unit
3315 FOLSOM ST,Standard Rental
2460 IRIS AV,Accessory Dwelling Unit
1965 GRAPE AVE,Standard Rental
1970 GRAPE AV,Standard Rental
3210 20TH ST,Standard Rental
2030 GRAPE AVE,Short Term Rental
2060 GRAPE AV,Standard Rental
2090 GRAPE AV,Standard Rental
2025 GRAPE AVE,Standard Rental
2295 GRAPE AVE,Standard Rental
2230 GRAPE AV,Standard Rental
2530 HAWTHORN AVE,Standard Rental
2410 HAWTHORN AV,Standard Rental
2350 HAWTHORN AVE,Standard Rental
2365 GRAPE AVE,Standard Rental
2515 GRAPE AVE,Attached Accessory Dwelling Unit
2595 GRAPE AVE,Standard Rental
3247 FOLSOM ST,Standard Rental
2510 GRAPE AV,Short Term Rental
2490 GRAPE AVE,Short Term Rental
2350 GRAPE AV,Standard Rental
2535 GLENWOOD DR,Standard Rental
2330 GLENWOOD DR,Standard Rental
1940 GLENWOOD DR,Standard Rental
2005 GLENWOOD DR,Standard Rental
2015 GLENWOOD DR,Standard Rental
3115 REPPLIER ST,Standard Rental
3135 REPPLIER ST,Standard Rental
1980 FLORAL DR,Standard Rental
1990 FLORAL DR,Standard Rental
3115 20TH ST,Standard Rental
3125 20TH ST,Standard Rental
3160 REPPLIER ST,Standard Rental
2045 FLORAL DR,Standard Rental
2055 FLORAL DR,Short Term Rental
2165 FLORAL DR,Standard Rental
2295 FOREST AV,Short Term Rental
2100 FLORAL DR,Standard Rental
2120 FLORAL DR,Standard Rental
2130 FLORAL DR,Standard Rental
2140 FLORAL DR,Standard Rental
2180 FLORAL DR,Standard Rental
2210 FLORAL DR,Attached Accessory Dwelling Unit
2220 FLORAL DR,Standard Rental
2260 FLORAL DR,Short Term Rental
2280 FLORAL DR,Standard Rental
2987 23RD ST,Short Term Rental
2280 FOREST AV,Accessory Dwelling Unit
3110 22ND ST,Accessory Dwelling Unit
3100 22ND ST,Standard Rental
2265 FLORAL DR,Standard Rental
3005 23RD ST,Standard Rental
3065 23RD ST,Standard Rental
3105 23RD ST,Standard Rental
3145 23RD ST,Standard Rental
3155 23RD ST,Short Term Rental
3160 23RD ST,Standard Rental
3110 23RD ST,Standard Rental
3050 23RD ST,Accessory Dwelling Unit
3010 23RD ST,Short Term Rental
2996 23RD ST,Standard Rental
2994 23RD ST,Standard Rental
2991 24TH ST,Standard Rental
3100 24TH ST,Short Term Rental
3020 24TH ST,Standard Rental
2996 24TH ST,Standard Rental
2994 24TH ST,Standard Rental
2992 24TH ST,Standard Rental
2991 25TH ST,Standard Rental
2993 25TH ST,Standard Rental
3025 25TH ST,Standard Rental
3035 25TH ST,Standard Rental
3050 25TH ST,Standard Rental
3000 25TH ST,Standard Rental
2992 25TH ST,Standard Rental
2991 FOLSOM ST,Standard Rental
2995 FOLSOM  ST,Standard Rental
3005 FOLSOM ST,Standard Rental
3015 FOLSOM ST,Standard Rental
3035 FOLSOM ST,Accessory Dwelling Unit
3045 FOLSOM ST,Standard Rental
3055 FOLSOM ST,Standard Rental
3110 25TH ST,Standard Rental
3105 FOLSOM ST,Standard Rental
3115 FOLSOM ST,Standard Rental
3125 FOLSOM ST,Standard Rental
3135 FOLSOM ST,Standard Rental
3155 FOLSOM ST,Detached Accessory Dwelling Unit
3115 25TH ST,Standard Rental
3145 25TH ST,Standard Rental
2335 FOREST AV,Standard Rental
2415 FOREST AVE,Standard Rental
2465 FOREST AVE,Short Term Rental
2239 NICHOLL ST,Short Term Rental
2263 NICHOLL ST,Standard Rental
2981 LORRAINE CT,Standard Rental
2900 21ST ST,Standard Rental
2990 20TH ST,Standard Rental
2991 21ST ST,Standard Rental
2921 21ST ST,Standard Rental
2901 21ST ST,Standard Rental
2940 19TH ST,Standard Rental
2901 20TH ST,Short Term Rental
2028 HERMOSA DR,Attached Accessory Dwelling Unit
1951 VISTA DR,Accessory Dwelling Unit
1975 VISTA DR,Standard Rental
3687 IRIS AV,Standard Rental
3683 IRIS AV,Standard Rental
3681 IRIS AV,Standard Rental
3673 IRIS AVE,Standard Rental
3671 IRIS AVE,Standard Rental
3663 IRIS AV,Standard Rental
3665 IRIS AVE,Standard Rental
3661 IRIS AV,Standard Rental
3236 PALO PY,Standard Rental
3288 PALO PKWY,Short Term Rental
3267 OURAY ST,Standard Rental
3736 RIDGEWAY ST,Short Term Rental
3692 PINEDALE ST,Standard Rental
3678 PINEDALE ST,Standard Rental
3676 PINEDALE ST,Standard Rental
3658 PINEDALE ST A,Standard Rental
3776 PALISADE DR,Standard Rental
3772 RIDGEWAY ST,Standard Rental
3071 CARBONDALE LN,Standard Rental
3620 PAONIA ST,Standard Rental
3720 PAONIA ST,Standard Rental
2620 LLOYD CR,Owner Occupied (1 Unit)
2622 SHERWOOD CR,Standard Rental
2643 SHERWOOD CR,Standard Rental
2613 SHERWOOD CR,Standard Rental
2674 KALMIA AVE,Standard Rental
3597 NOTTINGHAM CT,Standard Rental
3587 NOTTINGHAM CT,Standard Rental
3567 NOTTINGHAM CT,Standard Rental
3547 NOTTINGHAM CT,Standard Rental
3527 NOTTINGHAM CT,Standard Rental
3500 ARTHUR CT,Owner Fee Exempt
3502 NOTTINGHAM CT,Owner Fee Exempt
3507 NOTTINGHAM CT,Owner Fee Exempt
3512 NOTTINGHAM CT,Owner Fee Exempt
3517 NOTTINGHAM CT,Owner Fee Exempt
3522 NOTTINGHAM CT,Owner Fee Exempt
3505 ARTHUR CT,Owner Fee Exempt
3510 ARTHUR CT,Owner Fee Exempt
3515 ARTHUR CT,Owner Fee Exempt
3542 NOTTINGHAM CT,Standard Rental
3562 NOTTINGHAM CT,Standard Rental
3592 NOTTINGHAM CT,Standard Rental
3595 ARTHUR CT,Standard Rental
3565 ARTHUR CT,Standard Rental
3545 ARTHUR CT,Standard Rental
3540 ARTHUR CT,Standard Rental
3560 ARTHUR CT,Standard Rental
3580 ARTHUR CT,Standard Rental
3590 ARTHUR CT,Standard Rental
3520 ARTHUR CT,Standard Rental
2603 JUNIPER AV,Standard Rental
2617 JUNIPER AV,Standard Rental
2623 JUNIPER AV,Standard Rental
2641 JUNIPER AV,Short Term Rental
2645 JUNIPER AV,Standard Rental
2649 JUNIPER AVE,Standard Rental
2607 JUNIPER AV 16,Standard Rental
2613 JUNIPER AVE 19,Standard Rental
2615 JUNIPER AV 20,Standard Rental
2625 JUNIPER AVE 21,Standard Rental
2627 JUNIPER AV 22,Standard Rental
2629 JUNIPER AVE 23,Standard Rental
2633 JUNIPER AV 25,Standard Rental
2653 JUNIPER AV 27,Standard Rental
2655 JUNIPER AV 28,Standard Rental
2657 JUNIPER AV 29,Standard Rental
2661 JUNIPER AVE 31,Standard Rental
2636 JUNIPER AV 39-2,Standard Rental
2640 JUNIPER AV 38-7,Standard Rental
2640 JUNIPER AV 38-6,Standard Rental
2640 JUNIPER AV 38-1,Standard Rental
2640 JUNIPER AV 38-5,Standard Rental
2636 JUNIPER AV 39-5,Standard Rental
2636 JUNIPER AV 39-8,Standard Rental
2660 JUNIPER AVE 43,Standard Rental
2662 JUNIPER AV 44,Standard Rental
2666 JUNIPER AV 45,Standard Rental
2616 JUNIPER AVE 35-2,Standard Rental
2616 JUNIPER AVE 35-6,Standard Rental
2616 JUNIPER AVE 35-5,Standard Rental
2616 JUNIPER AVE 35-1,Standard Rental
2616 JUNIPER AVE 35-8,Standard Rental
2616 JUNIPER AVE 35-4,Standard Rental
2616 JUNIPER AVE 35-3,Standard Rental
2616 JUNIPER AVE 35-7,Standard Rental
2626 JUNIPER AVE 36-3,Standard Rental
2626 JUNIPER AVE 36-7,Standard Rental
2626 JUNIPER AVE 36-2,Standard Rental
2626 JUNIPER AVE 36-6,Standard Rental
2626 JUNIPER AVE 36-5,Standard Rental
2626 JUNIPER AVE 36-1,Standard Rental
2626 JUNIPER AVE 36-8,Standard Rental
2626 JUNIPER AVE 36-4,Standard Rental
2630 JUNIPER AV 37-4,Standard Rental
2630 JUNIPER AV 37-7,Standard Rental
2630 JUNIPER AV 37-3,Standard Rental
2630 JUNIPER AV 37-5,Standard Rental
2630 JUNIPER AVE 37-1,Standard Rental
2676 JUNIPER AVE 51,Standard Rental
2606 JUNIPER AV 1,Standard Rental
2606 JUNIPER AV 34-5,Standard Rental
2606 JUNIPER AVE 34-8,Standard Rental
2650 LLOYD CIR,Standard Rental
2685 JUNIPER AVE 62,Standard Rental
2701 JUNIPER AV,Short Term Rental
2713 JUNIPER AV 72,Standard Rental
2717 JUNIPER AVE 73,Standard Rental
2735 JUNIPER AV 75,Standard Rental
2731 JUNIPER AVE,Standard Rental
2721 JUNIPER AV,Standard Rental
3770 26TH ST,Standard Rental
3686 26TH ST,Short Term Rental
3692 26TH ST,Short Term Rental
3821 BIRCHWOOD DR,Short Term Rental
3653 PASEO DEL PRADO,Standard Rental
3657 PASEO DEL PRADO,Standard Rental
3665 PASEO DEL PRADO,Standard Rental
3641 PASEO DEL PRADO,Standard Rental
3689 PASEO DEL PRADO,Standard Rental
3701 PASEO DEL PRADO,Standard Rental
3685 PASEO DEL PRADO,Standard Rental
3683 PASEO DEL PRADO,Standard Rental
2730 WINDING TRAIL PL,Standard Rental
2724 WINDING TRAIL DR,Standard Rental
3669 ROUNDTREE CT,Standard Rental
3629 ROUNDTREE CT,Standard Rental
3625 ROUNDTREE CT,Standard Rental
3619 ROUNDTREE CT,Standard Rental
3609 ROUNDTREE CT,Standard Rental
3603 ROUNDTREE CT,Standard Rental
3636 ROUNDTREE CT,Standard Rental
3652 ROUNDTREE CT,Standard Rental
3656 ROUNDTREE CT,Short Term Rental
3664 ROUNDTREE CT,Standard Rental
3653 HAZELWOOD CT,Standard Rental
3648 HAZELWOOD CT,Standard Rental
3785 BIRCHWOOD DR 66,Standard Rental
3785 BIRCHWOOD DR 68,Standard Rental
3785 BIRCHWOOD DR 69,Standard Rental
3785 BIRCHWOOD DR 71,Standard Rental
3785 BIRCHWOOD DR 72,Standard Rental
3765 BIRCHWOOD DR 49,Standard Rental
3765 BIRCHWOOD DR 53,Standard Rental
3765 BIRCHWOOD DR 54,Standard Rental
3775 BIRCHWOOD DR 57,Standard Rental
3775 BIRCHWOOD DR 59,Standard Rental
3775 BIRCHWOOD DR 60,Standard Rental
3775 BIRCHWOOD DR 61,Standard Rental
3775 BIRCHWOOD DR 64,Standard Rental
3795 BIRCHWOOD DR 73,Standard Rental
3795 BIRCHWOOD DR 74,Standard Rental
3795 BIRCHWOOD DR 78,Standard Rental
3795 BIRCHWOOD DR 79,Short Term Rental
3795 BIRCHWOOD DR 80,Standard Rental
3755 BIRCHWOOD DR 42,Standard Rental
3755 BIRCHWOOD DR 43,Standard Rental
3755 BIRCHWOOD DR 46,Standard Rental
3705 BIRCHWOOD DR 1,Standard Rental
3705 BIRCHWOOD DR 3,Standard Rental
3705 BIRCHWOOD DR 5,Standard Rental
3705 BIRCHWOOD DR 6,Standard Rental
3715 BIRCHWOOD DR 9,Standard Rental
3715 BIRCHWOOD DR 10,Standard Rental
3715 BIRCHWOOD DR 12,Standard Rental
3715 BIRCHWOOD DR 13,Standard Rental
3725 BIRCHWOOD DR 19,Standard Rental
3735 BIRCHWOOD DR 25,Standard Rental
3735 BIRCHWOOD DR 29,Standard Rental
3745 BIRCHWOOD DR 33,Standard Rental
3745 BIRCHWOOD DR 34,Short Term Rental
3745 BIRCHWOOD DR 38,Standard Rental
3745 BIRCHWOOD DR 40,Standard Rental
2800 KALMIA AVE A102,Standard Rental
2800 KALMIA AVE A103,Standard Rental
2800 KALMIA AV A106,Standard Rental
2800 KALMIA AVE A111,Standard Rental
2800 KALMIA AV A116,Standard Rental
2800 KALMIA AVE A117,Standard Rental
2800 KALMIA AV A203,Standard Rental
2800 KALMIA AV A205,Standard Rental
2800 KALMIA AV A206,Standard Rental
2800 KALMIA AVE A207,Standard Rental
2800 KALMIA AVE A208,Standard Rental
2800 KALMIA AV A211,Standard Rental
2800 KALMIA AVE A212,Standard Rental
2800 KALMIA AV A214,Standard Rental
2800 KALMIA AV A215,Standard Rental
2800 KALMIA AV A216,Standard Rental
