PRECINCT,age avg,latitude,longitude,Neighborhood
2181107704,53,40.16438576051292,-105.24439139271695,Longmont
4171107623,45,40.16709286826797,-105.09778672973093,Downtown Longmont
2181107917,51,40.20465322563816,-105.3575657358333,Lyons
2181307856,44,39.97685978430829,-105.24176734647247,Majestic Heights
2181007815,39,40.036932199887104,-105.25052962053496,Glenwood Grove - North Iris
4171207614,50,40.13446903492765,-105.11192249753321,Prospect New Town
4171107636,58,40.184785112754,-105.13573485453531,Longmont Estates
4171207657,48,40.192712081197385,-105.05995794848297,East Side
2181007808,44,40.059441583158005,-105.27362103728191,North Broadway - Holiday
2181007853,42,39.98920779555155,-105.2357532085499,Frasier Meadows
2173307408,47,40.06048736855,-105.0649705621643,Erie
4171207613,48,40.142412916544664,-105.10781784833229,Southmoor
2181307878,42,40.010085584526635,-105.28924537546857,Flatirons
2181307872,30,40.002492013259484,-105.26935201493797,The Hill
2163307102,38,39.93249766819354,-105.14246931875064,Superior
2181307874,52,40.00187853015739,-105.28316846679064,The Hill
2171207305,44,39.99057917808679,-105.10409356274656,Lafayette
2181007842,50,40.000372254165256,-105.2230450715178,East Foothills
2181007851,61,39.995688583978136,-105.23586886521068,Frasier Meadows
2181307865,41,39.98404365238768,-105.24554520568293,Majestic Heights
2181107918,51,40.235453786121795,-105.2671414805969,Lyons
2181307869,49,39.99470828874157,-105.26671655971414,East Chautauqua
2171207301,44,39.98679183423542,-105.07958256138411,Lafayette
2171207306,48,39.993582602911914,-105.09650557822629,Lafayette
2173307410,52,40.044493875045134,-105.08863181544748,Erie
4171207615,48,40.13431600414029,-105.12622932976974,Pike
2163307101,44,39.92146408694897,-105.15366201101911,Rock Creek Ranch
2171207212,48,39.98332425756337,-105.12861343300379,Superior
4171207656,42,40.141549260649334,-105.09774583047967,Quail
2181007500,46,40.05681093578286,-105.19718064251857,Boulder
4171107633,43,40.18492099973503,-105.09533906117098,Clark Centennial
4171107639,52,40.18483225054115,-105.14949859579303,Longmont Estates
2181007829,37,40.018915894963,-105.2631435612447,Whittier
4171207609,45,40.16817844581699,-105.09065840407132,Kensington
2161307902,53,39.981444062461065,-105.56780738390962,Nederland
2181207402,52,39.993112738374236,-105.18904141279705,Paragon Estates
4171107625,50,40.16938743137318,-105.11339393926929,Sunset
2181307876,24,40.00709950456487,-105.2772783500793,The Hill
2173307412,48,40.02464420263464,-105.09332160211704,Erie
2181307871,38,39.99651522759593,-105.25831470554553,Martin Acres
2173307414,46,40.00627076923263,-105.0730508610039,Erie
4171207605,44,40.1779059383136,-105.06930817260454,East Side
2181007833,31,40.00955330534749,-105.27087180235581,Boulder
2171207304,48,39.993571220320376,-105.1118404874995,Lafayette
2171207307,43,39.99060470735712,-105.08440159466181,Lafayette
2181007828,39,40.02242094805217,-105.26345143263065,Whittier
2181307867,41,39.985192056714645,-105.25555731255832,Table Mesa North
2171207316,50,40.022101301632645,-105.11912433572088,Lafayette
2171207210,49,39.983666462430165,-105.15638927947927,Davidson Mesa
2181007823,42,40.021050597754474,-105.23252440185169,Transit Village
4171107640,51,40.188202837316524,-105.14741303583949,McIntosh
4171107632,48,40.18500196178257,-105.08123254076006,East Side
2181007845,39,40.00612781656909,-105.24619923952437,East Aurora
2181007831,36,40.01698496949866,-105.27090995707178,Whittier
2181307866,43,39.98958661050687,-105.2522131374194,Table Mesa North
2163307105,43,39.94048697420852,-105.14265789852931,Superior
2181107505,51,40.09428663216401,-105.17538951091294,Niwot
2171207302,46,39.97970043593416,-105.10205982725428,Lafayette
2181007813,47,40.033795487953675,-105.21612252251776,Noble Park
2181007846,41,40.005472844822556,-105.25587768098552,Baseline
2181007820,50,40.031594984155106,-105.26794267269949,Old North Boulder
2181307884,44,40.021819414469874,-105.28300507915424,Mapleton Hill
2181007801,44,40.082829966659176,-105.19531031577344,Gunbarrel
2161307901,51,39.927145955321166,-105.37443908567407,Coal Creek
4171107652,43,40.20147294874582,-105.12797897531169,Garden Acres
2171207311,50,39.997204268985406,-105.10223390071933,Lafayette
2181007838,29,40.010287221957114,-105.24673791145742,Boulder
2181307911,54,40.04355089565948,-105.30826889299233,Pine Brook Hills
2181007806,48,40.069051910347206,-105.2909558543148,Boulder
4171107654,48,40.197572918819134,-105.14379854372784,McIntosh
2171207215,49,39.99252986173212,-105.13920563471918,North Louisville
4171107630,47,40.17941450045021,-105.0976849762535,Clark Centennial
2163307100,46,39.92166312292247,-105.16124791374267,Rock Creek Ranch
2181007812,46,40.04558785901713,-105.24670383830195,Boulder
2173307409,46,40.04764856532552,-105.07201287500726,Erie
2181007837,31,40.008093127423294,-105.2558795029617,Baseline
2171207208,47,39.975426059545796,-105.15182948309501,Fireside
2181307883,46,40.02292706507844,-105.2924987683449,Mapleton Hill
4171107642,48,40.19233490114754,-105.12380550866786,Garden Acres
2171207310,47,40.004437027713806,-105.0897026539572,Lafayette
4171207610,42,40.14902804150094,-105.07894495701127,Quail
2181007802,39,40.06553748698251,-105.19961734447097,Gunbarrel
2181107913,56,40.11231683482754,-105.29676139232365,Altona
2181007822,41,40.032782087132105,-105.25191152756258,Glenwood Grove - North Iris
2181007814,46,40.03390943324122,-105.24267005480203,Noble Park
2171207314,48,40.000656691503366,-105.14259573683012,Lafayette
2171207312,52,40.00746735284774,-105.11537634538956,Lafayette
4171107647,54,40.1995114181963,-105.08362005753062,East Side
2181007852,42,39.989094334992444,-105.22240210901,Keewaydin
2181007810,51,40.04919147791354,-105.26565674992486,Sundance
2163307106,46,39.942305462350575,-105.15553861783962,Rock Creek Ranch
2181307909,52,40.04792006897648,-105.40546578658991,Bald Mountain
2181007821,43,40.032784554734334,-105.26268648279209,Glenwood Grove - North Iris
4171207604,52,40.16754200926548,-105.07578180852589,Kensington
4171207603,51,40.17056362948791,-105.06467388665286,East Side
2181007827,43,40.02091489987093,-105.27083655593759,Whittier
2181007847,25,40.00187233370687,-105.25584518301369,Baseline
4171107650,49,40.19943390773432,-105.11166911735933,Garden Acres
4181107708,53,40.23248220560086,-105.09305068543776,Longmont
2181307914,51,40.10945562816296,-105.40815125025419,Jamestown
2171207200,49,39.9510599238171,-105.14456776304633,Coal Creek
4171107620,50,40.16029685555009,-105.14264403235586,Longmont
2181307882,50,40.01775131506964,-105.28898954560299,Mapleton Hill
4171107622,47,40.159288053209764,-105.1105569794951,Sunset
2171207207,48,39.97305430526879,-105.13651414473037,Old Town
4181107706,53,40.18517643323593,-105.15901990044031,Longmont
2181007848,38,40.001872754926914,-105.24813014492115,East Aurora
4171107627,45,40.18056002636017,-105.12371750556117,Loomitter
4171107643,46,40.19088447118105,-105.10953004777502,Midtown
2181307860,51,39.97234759006529,-105.25490492696653,Rolling Hills
2181307854,39,39.98834328654601,-105.24032224372638,South 45th
2181307857,50,39.97220295646733,-105.2485459989179,Rolling Hills
2161307900,51,39.936229110395416,-105.2439487887502,Eldorado Springs
2181307875,30,40.004542386223534,-105.27398946744901,The Hill
4171207602,45,40.17803516578631,-105.06334705937354,East Side
4171107651,47,40.20305873316831,-105.12063182448503,Garden Acres
2181207404,52,40.00129088330489,-105.15466946375244,Lafayette-Louisville
2163307107,45,39.94892671143373,-105.1714507660715,Superior
2181007803,41,40.06673714265267,-105.21149359771516,Gunbarrel
4171107648,51,40.203073490489274,-105.09777471721193,Lanyon
2181007826,46,40.023841082550376,-105.27500748496323,Whittier
2181007825,49,40.02842021132672,-105.27737356269071,Old North Boulder
2181107508,53,40.10925025918944,-105.1682254549699,Niwot
2171207214,48,39.990703751315905,-105.1516628715809,North Louisville
2181007843,48,40.00015101004631,-105.23154940505574,Keewaydin East
4171107617,45,40.140433489578314,-105.15823042019841,Upper Clover Basin
4171107619,44,40.15862678187499,-105.16546858545402,Upper Clover Basin
4171207611,45,40.15088003401491,-105.1098042108944,Southmoor
2181007819,48,40.03323688556398,-105.2773797262633,Old North Boulder
2181307855,43,39.981647386475935,-105.23783548972062,Tantra Park
2181307908,52,40.01551419057931,-105.41911293578191,Tall Timber
2181307885,47,40.02730416823266,-105.28916174304851,Newlands
2163307103,45,39.93432896435847,-105.15269894917574,Rock Creek Ranch
2181307862,48,39.9769234535507,-105.25562707196573,Table Mesa South
4171107644,43,40.192211006575874,-105.0977186099535,Lanyon
2181107700,54,40.10971321032939,-105.2577713499918,Boulder
4171107618,47,40.14356495701635,-105.16411029817107,Upper Clover Basin
2181007816,43,40.041004889465846,-105.2608597760291,Parkside
2181207401,53,39.97602125536924,-105.19108767851753,Paragon Estates
4171107638,58,40.178215568774014,-105.14549902584525,Longmont Estates
2171207202,49,39.9601654688348,-105.15641948719093,Coal Creek
4171207600,53,40.19611997525337,-105.06815498297127,East Side
2171207308,47,39.997096458602265,-105.08436622843413,Old Town
2171207313,49,39.99628294971285,-105.12014670849312,Lafayette
2171207303,43,39.98212709265015,-105.11230060434104,Lafayette
2181307863,51,39.978168143754594,-105.27302048760622,Table Mesa North
2181007804,50,40.07265879323484,-105.22577606250942,Gunbarrel
2181007839,49,40.011013520356826,-105.23765203701933,East Foothills
2181307880,30,40.01225626127722,-105.27956336660924,The Hill
2181307915,54,40.135584315507494,-105.49893712832835,Upper St. Vrain
2181307879,36,40.01193841869514,-105.28637597572343,The Hill
2181007503,51,40.06918795861999,-105.1548610731218,Gunbarrel
4171107626,49,40.17370500407452,-105.1237144607806,Sunset
2181107705,54,40.20643562842265,-105.19446637924905,Longmont
2181007849,22,39.99664918229027,-105.2525527692067,Williams Village
2181007501,54,40.05694021968474,-105.1855480844748,Gunbarrel
2181007830,30,40.01602150062624,-105.26444346971195,Goss - Grove
2181107701,54,40.1061450437504,-105.20747388369907,Boulder
2181007832,43,40.018043210201135,-105.27732008082333,Whittier
2181307910,51,40.04680074674971,-105.36088243603521,Downtown Boulder
2171207213,54,39.99052135459331,-105.12794088706087,Hecla
2181307870,39,39.99282283110753,-105.2469097263125,Martin Acres
4171107645,48,40.19222989264469,-105.08807434369066,Lanyon
2171207300,44,39.97212994466794,-105.07914958371296,Old Town
4171107616,47,40.13560875617243,-105.14033175317357,Schlagel
2181307919,48,39.96628935031343,-105.50386296764151,Nederland
2181007834,19,40.00584550149683,-105.26685576441452,Boulder
4171107637,50,40.17418399788188,-105.13898565770636,Longmont Estates
2181307887,51,40.036863663928,-105.28958416210958,Juniper-Kalmia
4171207612,46,40.1450664668145,-105.12132806961823,South Industrial Longmont
2171207211,48,39.9823364986224,-105.14277630445332,Old Town
2181107702,51,40.12337000140964,-105.1571209712292,Longmont
2171207204,47,39.96926079194844,-105.16130638396088,Fireside
2181207403,52,40.003944931080525,-105.19561197919917,Cherryvale - Hoover Hills
2181007835,24,40.00463297003524,-105.26295048005318,Boulder
2181307858,50,39.96693855499063,-105.25372867808525,Shanahan Ridge
2181307881,49,40.01519046520171,-105.29032062844308,The Hill
2181007502,57,40.06654202033929,-105.18734647254175,Gunbarrel
2181007840,45,40.01105350358843,-105.23008428100897,East Foothills
4171207608,44,40.17262145609509,-105.08568344488467,Clark Centennial
2181107507,50,40.10185681730275,-105.1452334543135,Niwot
2181007841,49,40.01122992745219,-105.22886343040233,East Foothills
2181007800,50,40.0699022272954,-105.18668936001343,Gunbarrel
2181307886,49,40.03105145882614,-105.28916581648113,Newlands
2173307413,46,40.03305486877733,-105.06496321674443,Erie
4171107631,46,40.17943801228954,-105.09068277458498,Clark Centennial
2181207406,53,40.080528443554854,-105.11702087382535,Lafayette-Louisville
4171107635,53,40.18585345711954,-105.12378492860636,Loomitter
2181307888,54,40.04418654893518,-105.28869339956229,Wonderland Hills
2171207201,52,39.964504334127426,-105.12427121885116,South Louisville
2171207407,54,40.09004895544746,-105.08799086484579,Longmont
2181307868,53,39.98581594454813,-105.26627589827604,Table Mesa North
2181007836,48,40.011902406647465,-105.25882645542679,University Heights
4171107655,50,40.135801743855716,-105.16137682669819,Lower Clover Basin
2181307861,51,39.977864057729136,-105.2464805794971,Table Mesa South
4171107624,52,40.16895098670034,-105.10636046948983,Sunset
4171107641,49,40.19235402951725,-105.13574337081793,McIntosh
4171207601,50,40.18518261354488,-105.06697561256914,East Side
2181007818,50,40.0400455764546,-105.27739513410324,Catalpa Park
2181007811,48,40.04735007878428,-105.25216988638208,Boulder
4171107621,48,40.15462309823137,-105.1213975213735,Sunset
2181307877,47,40.00631130495176,-105.28443530256598,The Hill
2181107916,57,40.21377589398999,-105.44265873497747,Allenspark
2181007824,48,40.026394421508854,-105.26550387373672,Panorama Heights
4171107629,48,40.17760093709998,-105.106819472319,Loomitter
2181007817,53,40.041056928195005,-105.26792001298787,Carolyn Heights
2181007844,46,40.00403431561682,-105.23825411801216,Park East
4171107646,51,40.192240036669446,-105.08034742619654,East Side
2181107506,52,40.094352441454674,-105.15968037322924,Niwot
4171107634,53,40.184913574210086,-105.10717299739946,Loomitter
4181107707,54,40.232263923092376,-105.15329006382521,Longmont
2181007807,50,40.053302020619896,-105.29051461536764,North Wonderland
4171107649,47,40.19773715948101,-105.10951053887473,Garden Acres
4171207606,46,40.17770305735496,-105.07860647107711,Clark Centennial
